Title,Rating,Link
头号玩家,8.6,https://movie.douban.com/subject/4920389/
玛丽和麦克斯,9.0,https://movie.douban.com/subject/3072124/
模仿游戏,8.8,https://movie.douban.com/subject/10463953/
惊魂记,9.0,https://movie.douban.com/subject/1293181/
心灵奇旅,8.7,https://movie.douban.com/subject/24733428/
大鱼,8.8,https://movie.douban.com/subject/1291545/
背靠背，脸对脸,9.4,https://movie.douban.com/subject/1307856/
你的名字。,8.5,https://movie.douban.com/subject/26683290/
血战钢锯岭,8.7,https://movie.douban.com/subject/26325320/
射雕英雄传之东成西就,8.7,https://movie.douban.com/subject/1316510/
末路狂花,9.0,https://movie.douban.com/subject/1291992/
高山下的花环,9.5,https://movie.douban.com/subject/1422283/
我是山姆,9.0,https://movie.douban.com/subject/1306861/
阳光姐妹淘,8.8,https://movie.douban.com/subject/4917726/
黑客帝国3：矩阵革命,8.8,https://movie.douban.com/subject/1302467/
恐怖直播,8.7,https://movie.douban.com/subject/21360417/
谍影重重3,8.9,https://movie.douban.com/subject/1578507/
小丑,8.7,https://movie.douban.com/subject/27119724/
无间道2,8.8,https://movie.douban.com/subject/1307106/
三块广告牌,8.7,https://movie.douban.com/subject/26611804/
电锯惊魂,8.7,https://movie.douban.com/subject/1417598/
达拉斯买家俱乐部,8.8,https://movie.douban.com/subject/1793929/
疯狂原始人,8.7,https://movie.douban.com/subject/1907966/
疯狂的石头,8.6,https://movie.douban.com/subject/1862151/
绿里奇迹,8.9,https://movie.douban.com/subject/1300374/
爱在午夜降临前,8.8,https://movie.douban.com/subject/10808442/
2001太空漫游,8.9,https://movie.douban.com/subject/1292226/
雨中曲,9.1,https://movie.douban.com/subject/1293460/
海街日记,8.8,https://movie.douban.com/subject/25895901/
上帝之城,9.0,https://movie.douban.com/subject/1292208/
心迷宫,8.7,https://movie.douban.com/subject/25917973/
风之谷,8.9,https://movie.douban.com/subject/1291585/
记忆碎片,8.7,https://movie.douban.com/subject/1304447/
英雄本色,8.6,https://movie.douban.com/subject/1297574/
纵横四海,8.8,https://movie.douban.com/subject/1295409/
恐怖游轮,8.5,https://movie.douban.com/subject/3011051/
无敌破坏王,8.7,https://movie.douban.com/subject/6534248/
芙蓉镇,9.3,https://movie.douban.com/subject/1297880/
魔女宅急便,8.8,https://movie.douban.com/subject/1307811/
牯岭街少年杀人事件,8.9,https://movie.douban.com/subject/1292329/
小偷家族,8.7,https://movie.douban.com/subject/27622447/
东京教父,9.0,https://movie.douban.com/subject/1310177/
卢旺达饭店,8.9,https://movie.douban.com/subject/1291822/
冰川时代,8.7,https://movie.douban.com/subject/1291578/
忠犬八公物语,9.2,https://movie.douban.com/subject/1959195/
岁月神偷,8.7,https://movie.douban.com/subject/3792799/
遗愿清单,8.7,https://movie.douban.com/subject/1867345/
白日梦想家,8.6,https://movie.douban.com/subject/2133323/
花束般的恋爱,8.6,https://movie.douban.com/subject/34874432/
大佛普拉斯,8.7,https://movie.douban.com/subject/27059130/
爱乐之城,8.4,https://movie.douban.com/subject/25934014/
源代码,8.6,https://movie.douban.com/subject/3075287/
荒蛮故事,8.7,https://movie.douban.com/subject/24750126/
疯狂的麦克斯4：狂暴之路,8.7,https://movie.douban.com/subject/3592854/
可可西里,8.9,https://movie.douban.com/subject/1308857/
你看起来好像很好吃,8.9,https://movie.douban.com/subject/4848115/
波西米亚狂想曲,8.6,https://movie.douban.com/subject/5300054/
贫民窟的百万富翁,8.6,https://movie.douban.com/subject/2209573/
城市之光,9.3,https://movie.douban.com/subject/1293908/
大红灯笼高高挂,8.8,https://movie.douban.com/subject/1293323/
哈利·波特与死亡圣器(上),8.6,https://movie.douban.com/subject/2051007/
无耻混蛋,8.7,https://movie.douban.com/subject/1438652/
爆裂鼓手,8.6,https://movie.douban.com/subject/25773932/
终结者2：审判日,8.8,https://movie.douban.com/subject/1291844/
青蛇,8.6,https://movie.douban.com/subject/1303394/
东邪西毒,8.6,https://movie.douban.com/subject/1292328/
黑天鹅,8.6,https://movie.douban.com/subject/1978709/
新龙门客栈,8.7,https://movie.douban.com/subject/1292287/
初恋这件小事,8.5,https://movie.douban.com/subject/4739952/
千钧一发,8.8,https://movie.douban.com/subject/1300117/
人工智能,8.7,https://movie.douban.com/subject/1302827/
崖上的波妞,8.6,https://movie.douban.com/subject/1959877/
虎口脱险,8.9,https://movie.douban.com/subject/1296909/
彗星来的那一夜,8.6,https://movie.douban.com/subject/25807345/
哈利·波特与凤凰社,8.6,https://movie.douban.com/subject/1457217/
雨人,8.7,https://movie.douban.com/subject/1291870/
海边的曼彻斯特,8.6,https://movie.douban.com/subject/25980443/
罗生门,8.8,https://movie.douban.com/subject/1291879/
火星救援,8.5,https://movie.douban.com/subject/25864085/
恋恋笔记本,8.5,https://movie.douban.com/subject/1309163/
冰雪奇缘,8.5,https://movie.douban.com/subject/4202982/
真爱至上,8.5,https://movie.douban.com/subject/1292401/
黑客帝国2：重装上阵,8.7,https://movie.douban.com/subject/1304141/
步履不停,8.8,https://movie.douban.com/subject/2222996/
蜘蛛侠：平行宇宙,8.6,https://movie.douban.com/subject/26374197/
千年女优,8.8,https://movie.douban.com/subject/1307394/
谍影重重2,8.7,https://movie.douban.com/subject/1308767/
奇迹男孩,8.6,https://movie.douban.com/subject/26787574/
战争之王,8.7,https://movie.douban.com/subject/1419936/
攻壳机动队,9.0,https://movie.douban.com/subject/1291936/
血钻,8.7,https://movie.douban.com/subject/1428175/
小姐,8.6,https://movie.douban.com/subject/25977027/
血观音,8.6,https://movie.douban.com/subject/27113517/
隐藏人物,8.9,https://movie.douban.com/subject/26615208/
魂断蓝桥,8.8,https://movie.douban.com/subject/1293964/
谍影重重,8.6,https://movie.douban.com/subject/1304102/
